date,1. open,2. high,3. low,4. close,5. volume
2019-07-24 14:20:00,207.29,207.3,207.26,207.2641,17400.0
2019-07-24 14:21:00,207.2659,207.31,207.26,207.3,19716.0
2019-07-24 14:22:00,207.305,207.335,207.28,207.29,23013.0
2019-07-24 14:23:00,207.29,207.34,207.28,207.32,28462.0
2019-07-24 14:24:00,207.32,207.3323,207.28,207.28,10762.0
2019-07-24 14:25:00,207.28,207.28,207.2,207.21,33561.0
2019-07-24 14:26:00,207.215,207.2642,207.21,207.26,15264.0
2019-07-24 14:27:00,207.26,207.31,207.26,207.28,26035.0
2019-07-24 14:28:00,207.29,207.36,207.29,207.355,20950.0
2019-07-24 14:29:00,207.3541,207.41,207.3445,207.35,23557.0
2019-07-24 14:30:00,207.3518,207.409,207.35,207.375,22175.0
2019-07-24 14:31:00,207.3851,207.49,207.3851,207.44,31127.0
2019-07-24 14:32:00,207.45,207.5,207.41,207.49,14193.0
2019-07-24 14:33:00,207.4867,207.5719,207.47,207.57,22689.0
2019-07-24 14:34:00,207.57,207.62,207.52,207.61,31925.0
2019-07-24 14:35:00,207.6,207.6,207.52,207.53,24883.0
2019-07-24 14:36:00,207.54,207.585,207.54,207.57,25076.0
2019-07-24 14:37:00,207.5716,207.5765,207.53,207.54,17048.0
2019-07-24 14:38:00,207.54,207.61,207.53,207.58,33919.0
2019-07-24 14:39:00,207.57,207.58,207.54,207.57,35849.0
2019-07-24 14:40:00,207.57,207.58,207.545,207.57,44758.0
2019-07-24 14:41:00,207.57,207.61,207.55,207.565,12470.0
2019-07-24 14:42:00,207.56,207.62,207.54,207.55,22953.0
2019-07-24 14:43:00,207.55,207.575,207.51,207.575,13954.0
2019-07-24 14:44:00,207.5799,207.58,207.53,207.56,19248.0
2019-07-24 14:45:00,207.54,207.61,207.54,207.6033,8090.0
2019-07-24 14:46:00,207.6,207.6499,207.59,207.6499,19861.0
2019-07-24 14:47:00,207.64,207.64,207.61,207.615,13352.0
2019-07-24 14:48:00,207.61,207.65,207.58,207.65,15550.0
2019-07-24 14:49:00,207.65,207.6869,207.64,207.68,21003.0
2019-07-24 14:50:00,207.67,207.69,207.66,207.66,17462.0
2019-07-24 14:51:00,207.6631,207.69,207.65,207.66,13780.0
2019-07-24 14:52:00,207.67,207.7,207.67,207.7,21919.0
2019-07-24 14:53:00,207.685,207.7,207.66,207.67,13574.0
2019-07-24 14:54:00,207.6709,207.72,207.65,207.7,40375.0
2019-07-24 14:55:00,207.7077,207.73,207.68,207.69,30929.0
2019-07-24 14:56:00,207.7,207.79,207.69,207.76,28577.0
2019-07-24 14:57:00,207.77,207.86,207.77,207.86,71602.0
